"flowobject","label"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_STEW","Secondary steel for treatment; Re-processing of secondary steel into new steel"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FAUX","Services auxiliary to financial intermediation (67)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_BIOS","Sewage sludge for treatment: biogasification and land application"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_HWAT","Steam and hot water supply services"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_STON","Stone"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_SUBC","Sub-Bituminous Coal"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_SUGR","Sugar"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_SUGB","Sugar cane; sugar beet"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TAUX","Supporting and auxiliary transport services; travel agency services (63)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_50","TSP (total suspended particulate)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TEXT","Textiles (17)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCT","Textiles waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LANT","Textiles waste for treatment: landfill"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TOBC","Tobacco products (16)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_31","Toxaphene"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_POWT","Transmission services of electricity"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TPIP","Transportation services via pipelines"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_ORAN","Uranium and thorium ores (12)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_FVEG","Vegetables; fruit; nuts"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_GARM","Wearing apparel; furs (18)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WHEA","Wheat"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WHSP","White Spirit & SBP"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_TDWH","Wholesale trade and commission trade services; except of motor vehicles and motorcycles (51)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WOOD","Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WOOW","Wood material for treatment; Re-processing of secondary wood material into new wood material"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_INCW","Wood waste for treatment: incineration"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_LANW","Wood waste for treatment: landfill"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_WOOL","Wool; silk-worm cocoons"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_58","Zn"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_22","Zn"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_35","dioxin"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_64","other emissions"
"http://rdf.bonsai.uno/flowobject/exiobase3_3_17#C_VOIL","products of Vegetable oils and fats"
